record_id,date,time,available_capacity,sch_total,act_total,rate,ppa_rate,dev,dev_perc,nc_energy,beyond_nc_energy,Overinjection_charges,Underinjection_Charges,Drawl_Charges,total_import,total_export,dev_rtda_import,dev_rtda_export,datetime
2025-04-07-00:00:00,2025-04-07,00:00:00,75.0,0.25,6.559999,387.2,387.2,6.309999,8.413332,6.309999,0.0,24432.316128,0.0,0.0,0.0,0.0,0.0,0.0,2025-04-07 00:00:00
2025-04-07-00:15:00,2025-04-07,00:15:00,75.0,0.25,2.592,387.2,387.2,2.342,3.12266667,2.342,0.0,9068.224,0.0,0.0,0.0,0.0,0.0,0.0,2025-04-07 00:15:00
2025-04-07-00:30:00,2025-04-07,00:30:00,75.0,0.25,2.624,387.2,387.2,2.374,3.16533333,2.374,0.0,9192.128,0.0,0.0,0.0,0.0,0.0,0.0,2025-04-07 00:30:00
2025-04-07-00:45:00,2025-04-07,00:45:00,75.0,7.5,3.04,387.2,387.2,-4.46,-5.94666667,4.46,0.0,0.0,-17269.12,0.0,0.0,0.0,0.0,0.0,2025-04-07 00:45:00
2025-04-07-01:00:00,2025-04-07,01:00:00,75.0,7.5,7.423999,387.2,387.2,-0.076001,-0.10133467,0.076001,0.0,0.0,-294.275872,0.0,0.0,0.0,0.0,0.0,2025-04-07 01:00:00
2025-04-07-01:15:00,2025-04-07,01:15:00,75.0,7.5,7.423999,387.2,387.2,-0.076001,-0.10133467,0.076001,0.0,0.0,-294.275872,0.0,0.0,0.0,0.0,0.0,2025-04-07 01:15:00
2025-04-07-01:30:00,2025-04-07,01:30:00,75.0,7.5,5.984,387.2,387.2,-1.516,-2.02133333,1.516,0.0,0.0,-5869.952,0.0,0.0,0.0,0.0,0.0,2025-04-07 01:30:00
2025-04-07-01:45:00,2025-04-07,01:45:00,75.0,7.5,1.152,387.2,387.2,-6.348,-8.464,6.348,0.0,0.0,-24579.456,0.0,0.0,0.0,0.0,0.0,2025-04-07 01:45:00
2025-04-07-02:00:00,2025-04-07,02:00:00,75.0,7.5,1.216,387.2,387.2,-6.284,-8.37866667,6.284,0.0,0.0,-24331.648,0.0,0.0,0.0,0.0,0.0,2025-04-07 02:00:00
2025-04-07-02:15:00,2025-04-07,02:15:00,75.0,7.5,1.376,387.2,387.2,-6.124,-8.16533333,6.124,0.0,0.0,-23712.128,0.0,0.0,0.0,0.0,0.0,2025-04-07 02:15:00
2025-04-07-02:30:00,2025-04-07,02:30:00,75.0,7.5,1.6,387.2,387.2,-5.9,-7.86666667,5.9,0.0,0.0,-22844.8,0.0,0.0,0.0,0.0,0.0,2025-04-07 02:30:00
2025-04-07-02:45:00,2025-04-07,02:45:00,75.0,7.5,10.752,387.2,387.2,3.252,4.336,3.252,0.0,12591.744,0.0,0.0,0.0,0.0,0.0,0.0,2025-04-07 02:45:00
2025-04-07-03:00:00,2025-04-07,03:00:00,75.0,7.5,9.088,387.2,387.2,1.588,2.11733333,1.588,0.0,6148.736,0.0,0.0,0.0,0.0,0.0,0.0,2025-04-07 03:00:00
2025-04-07-03:15:00,2025-04-07,03:15:00,75.0,7.5,5.696,387.2,387.2,-1.804,-2.40533333,1.804,0.0,0.0,-6985.088,0.0,0.0,0.0,0.0,0.0,2025-04-07 03:15:00
2025-04-07-03:30:00,2025-04-07,03:30:00,75.0,7.5,2.336,387.2,387.2,-5.164,-6.88533333,5.164,0.0,0.0,-19995.008,0.0,0.0,0.0,0.0,0.0,2025-04-07 03:30:00
2025-04-07-03:45:00,2025-04-07,03:45:00,75.0,7.5,0.16,387.2,387.2,-7.34,-9.78666667,7.34,0.0,0.0,-28420.48,0.0,0.0,0.0,0.0,0.0,2025-04-07 03:45:00
2025-04-07-04:00:00,2025-04-07,04:00:00,75.0,7.5,0.256,387.2,387.2,-7.244,-9.65866667,7.244,0.0,0.0,-28048.768,0.0,0.0,0.0,0.0,0.0,2025-04-07 04:00:00
2025-04-07-04:15:00,2025-04-07,04:15:00,75.0,7.5,0.384,387.2,387.2,-7.116,-9.488,7.116,0.0,0.0,-27553.152,0.0,0.0,0.0,0.0,0.0,2025-04-07 04:15:00
2025-04-07-04:30:00,2025-04-07,04:30:00,75.0,7.5,0.288,387.2,387.2,-7.212,-9.616,7.212,0.0,0.0,-27924.864,0.0,0.0,0.0,0.0,0.0,2025-04-07 04:30:00
2025-04-07-04:45:00,2025-04-07,04:45:00,75.0,7.5,0.352,387.2,387.2,-7.148,-9.53066667,7.148,0.0,0.0,-27677.056,0.0,0.0,0.0,0.0,0.0,2025-04-07 04:45:00
2025-04-07-05:00:00,2025-04-07,05:00:00,75.0,3.75,0.288,387.2,387.2,-3.462,-4.616,3.462,0.0,0.0,-13404.864,0.0,0.0,0.0,0.0,0.0,2025-04-07 05:00:00
2025-04-07-05:15:00,2025-04-07,05:15:00,75.0,3.75,0.416,387.2,387.2,-3.334,-4.44533333,3.334,0.0,0.0,-12909.248,0.0,0.0,0.0,0.0,0.0,2025-04-07 05:15:00
2025-04-07-05:30:00,2025-04-07,05:30:00,75.0,3.75,0.384,387.2,387.2,-3.366,-4.488,3.366,0.0,0.0,-13033.152,0.0,0.0,0.0,0.0,0.0,2025-04-07 05:30:00
2025-04-07-05:45:00,2025-04-07,05:45:00,75.0,3.75,0.864,387.2,387.2,-2.886,-3.848,2.886,0.0,0.0,-11174.592,0.0,0.0,0.0,0.0,0.0,2025-04-07 05:45:00
2025-04-07-06:00:00,2025-04-07,06:00:00,75.0,19.0,7.904,387.2,387.2,-11.096,-14.79466667,7.5,3.596,0.0,-44356.0832,0.0,0.0,0.0,0.0,0.0,2025-04-07 06:00:00
